cle,nom,departement,latitude,longitude
aast,Aast,64,43.29088,-0.08177
abainville,Abainville,55,48.5327,5.51525
abancourt,Abancourt,59,50.23687,3.20731
abancourt,Abancourt,60,49.69305,1.76924
abaucourt,Abaucourt,54,48.89284,6.2656
abaucourt hautecourt,Abaucourt-Hautecourt,55,49.19696,5.54869
abbans dessous,Abbans-Dessous,25,47.13407,5.87287
abbans dessus,Abbans-Dessus,25,47.127,5.88626
abbaretz,Abbaretz,44,47.55604,-1.49327
abbecourt,Abbécourt,2,49.59915,3.17708
abbecourt,Abbecourt,60,49.3612,2.15509
abbenans,Abbenans,25,47.49609,6.4506
abbeville,Abbeville,80,50.10836,1.83209
abbeville la riviere,Abbéville-la-Rivière,91,48.34375,2.19128
abbeville les conflans,Abbéville-lès-Conflans,54,49.20027,5.84407
abbeville saint lucien,Abbeville-Saint-Lucien,60,49.52011,2.16637
abbevillers,Abbévillers,25,47.42744,6.92162
abeilhan,Abeilhan,34,43.4575,3.29924
abelcourt,Abelcourt,70,47.7934,6.27775
abere,Abère,64,43.3871,-0.17483
abergement la ronce,Abergement-la-Ronce,39,47.06497,5.37826
abergement le grand,Abergement-le-Grand,39,46.91429,5.67853
abergement le petit,Abergement-le-Petit,39,46.90656,5.69664
abergement les thesy,Abergement-lès-Thésy,39,46.9135,5.9457
abidos,Abidos,64,43.3952,-0.62834
abilly,Abilly,37,46.94112,0.73479
abitain,Abitain,64,43.41734,-0.99809
abjat sur bandiat,Abjat-sur-Bandiat,24,45.58177,0.76
ablain saint nazaire,Ablain-Saint-Nazaire,62,50.39656,2.69725
ablaincourt pressoir,Ablaincourt-Pressoir,80,49.84132,2.82481
ablainzevelle,Ablainzevelle,62,50.15366,2.74147
ablancourt,Ablancourt,51,48.81034,4.53085
ableiges,Ableiges,95,49.08577,1.97487
ablis,Ablis,78,48.52833,1.85096
ablon,Ablon,14,49.39425,0.28677
ablon sur seine,Ablon-sur-Seine,94,48.72384,2.42118
aboen,Aboën,42,45.41271,4.12725
aboncourt,Aboncourt,54,48.3611,5.98255
aboncourt,Aboncourt,57,49.25652,6.35416
aboncourt gesincourt,Aboncourt-Gesincourt,70,47.76836,5.97257
aboncourt sur seille,Aboncourt-sur-Seille,57,48.81867,6.35584
abondance,Abondance,74,46.26611,6.73216
abondant,Abondant,28,48.79506,1.42001
abos,Abos,64,43.35387,-0.55069
abreschviller,Abreschviller,57,48.60157,7.15577
abrest,Abrest,3,46.09558,3.45052
abries,Abriès,5,44.81635,6.94164
abscon,Abscon,59,50.32834,3.29788
abzac,Abzac,16,46.09955,0.71582
abzac,Abzac,33,45.01065,-0.13018
accolans,Accolans,25,47.49062,6.53414
accolay,Accolay,89,47.65622,3.70517
accons,Accons,7,44.88853,4.39243
accous,Accous,64,42.93981,-0.57907
achain,Achain,57,48.91582,6.59031
achen,Achen,57,49.04625,7.18367
achenheim,Achenheim,67,48.58046,7.62541
acheres,Achères,18,47.28265,2.45878
acheres,Achères,78,48.9718,2.09004
acheres la foret,Achères-la-Forêt,77,48.34853,2.56457
achery,Achery,2,49.69362,3.39736
acheux en amienois,Acheux-en-Amiénois,80,50.07156,2.53118
acheux en vimeu,Acheux-en-Vimeu,80,50.06604,1.67027
acheville,Acheville,62,50.38438,2.88204
achey,Achey,70,47.57701,5.60745
achicourt,Achicourt,62,50.27228,2.75615
achiet le grand,Achiet-le-Grand,62,50.13247,2.7791
achiet le petit,Achiet-le-Petit,62,50.12564,2.75521
achun,Achun,58,47.12968,3.66419
achy,Achy,60,49.55622,1.97186
acigne,Acigné,35,48.1464,-1.5188
aclou,Aclou,27,49.16555,0.69829
acon,Acon,27,48.76946,1.10492
acoua,Acoua,976,-12.72389,45.06871
acq,Acq,62,50.3494,2.65504
